id,name,address,capacity,price
1,信二家廚 Shinji Living,台灣臺北市中正區 濟南路二段62巷23號1樓 1 樓,18 人,1380
2,愛佳泊,台灣臺北市中正區 濟南路二段62巷23號1樓 1 樓,80 人,1200
3,Happ. 小樹屋,台灣臺北市中正區 濟南路二段62巷23號1樓 1 樓,4 人,220
4,Happ. 小樹屋,台灣臺北市中正區 濟南路二段62巷23號1樓 1 樓,40 人,1200
5,Happ. 小樹屋,台灣臺北市中正區 濟南路二段62巷23號1樓 1 樓,40 人,150
6,愛佳泊,台灣臺北市中正區 濟南路二段62巷23號1樓 1 樓,10 人,400
7,毛時光共享空間,台灣臺北市中正區 濟南路二段62巷23號1樓 1 樓,50 人,700
8,日富空間,台灣臺北市中正區 濟南路二段62巷23號1樓 1 樓,20 人,450
9,幸福廚藝教室,台灣臺北市中正區 濟南路二段62巷23號1樓 1 樓,60 人,700
10,Happ. 小樹屋,台灣臺北市中正區 濟南路二段62巷23號1樓 1 樓,8 人,420
11,田舍有限公司,台灣臺北市南港區 富康街1巷2號 1 樓,10 人,350
12,Swing Taiwan 藝文空間!!台中美術園區,台灣臺北市南港區 富康街1巷2號 1 樓,30 人,500
13,LE CARRÉ 拉開門,台灣臺北市南港區 富康街1巷2號 1 樓,49 人,399
14,ness family club,台灣臺北市南港區 富康街1巷2號 1 樓,50 人,20000
15,Happ. 小樹屋,台灣臺北市南港區 富康街1巷2號 1 樓,6 人,370
16,HOWSHOW共享空間,台灣臺北市南港區 富康街1巷2號 1 樓,20 人,450
17,D.LAB 商務空間,台灣臺北市南港區 富康街1巷2號 1 樓,30 人,5200
18,Mix&Match複合式咖啡館,台灣臺北市南港區 富康街1巷2號 1 樓,20 人,3000
19,比日山 TtdH｜創意分享空間,台灣臺北市南港區 富康街1巷2號 1 樓,20 人,700
20,Happ. 小樹屋,台灣臺北市南港區 富康街1巷2號 1 樓,10 人,360
21,IN BAR Kaohsiung,台灣高雄市苓雅區 海邊路105號 1 樓,50 人,500
22,心流逸境工作室,台灣高雄市苓雅區 海邊路105號 1 樓,24 人,500
23,藏風藝文空間,台灣高雄市苓雅區 海邊路105號 1 樓,100 人,1250
24,Syntrend Show,台灣高雄市苓雅區 海邊路105號 1 樓,400 人,70000
25,Happ. 小樹屋,台灣高雄市苓雅區 海邊路105號 1 樓,7 人,460
26,Happ. 小樹屋,台灣高雄市苓雅區 海邊路105號 1 樓,4 人,280
27,Happ. 小樹屋,台灣高雄市苓雅區 海邊路105號 1 樓,10 人,490
28,Happ. 小樹屋,台灣高雄市苓雅區 海邊路105號 1 樓,12 人,790
29,Happ. 小樹屋,台灣高雄市苓雅區 海邊路105號 1 樓,6 人,420
30,三木空間_近松山車站東出口~~~鬧中取靜窗外綠植景觀場地空間,台灣高雄市苓雅區 海邊路105號 1 樓,60 人,5775
31,Happ. 小樹屋,台灣臺中市西區 精誠七街4號 2 樓 204 室,7 人,410
32,玖蒔玖house99,台灣臺中市西區 精誠七街4號 2 樓 204 室,50 人,3500
33,T&J商務分享空間,台灣臺中市西區 精誠七街4號 2 樓 204 室,20 人,250
34,Qspace會議中心,台灣臺中市西區 精誠七街4號 2 樓 204 室,90 人,2000
35,兔子咬手作烘焙,台灣臺中市西區 精誠七街4號 2 樓 204 室,15 人,300
36,北大愛輪,台灣臺中市西區 精誠七街4號 2 樓 204 室,40 人,300
37,Terminal C 兆基國際新創聚落,台灣臺中市西區 精誠七街4號 2 樓 204 室,158 人,1500
38,好睡咖啡,台灣臺中市西區 精誠七街4號 2 樓 204 室,25 人,1000
39,心煦心理治療所,台灣臺中市西區 精誠七街4號 2 樓 204 室,15 人,750
40,杏羽藝術,台灣臺中市西區 精誠七街4號 2 樓 204 室,25 人,450
41,興新富有限公司,台灣臺北市內湖區 新明路179號 12 樓,30 人,1500
42,GEOS大世界外語學院,台灣臺北市內湖區 新明路179號 12 樓,4 人,250
43,百代茶集 Dynastea,台灣臺北市內湖區 新明路179號 12 樓,25 人,750
44,福滿門,台灣臺北市內湖區 新明路179號 12 樓,26 人,250
45,Uni Furniture&Studio,台灣臺北市內湖區 新明路179號 12 樓,30 人,2500
